evt.rawtime,evt.deltatime,container.image,container.id,proc.sname,proc.pname,proc.name,proc.exe,proc.args,evt.type,evt.dir,fd.typechar,fd.num,evt.arg.name,evt.arg.mode,evt.arg.addr,evt.arg.tuple,evt.arg.path,evt.rawres,evt.arg.size,evt.buflen,evt.buffer
1683188357605989652,8465,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",write,>,p,5,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,<NA>,"<NA>"
1683188357605995240,5588,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",write,<,p,5,<NA>,<NA>,<NA>,<NA>,<NA>,1,<NA>,1,"!"
1683188357605999687,4447,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",epoll_wait,<,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1,<NA>,<NA>,"<NA>"
1683188357606002904,3217,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",read,>,p,4,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,32,<NA>,"<NA>"
1683188357606006504,3600,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",read,<,p,4,<NA>,<NA>,<NA>,<NA>,<NA>,1,<NA>,1,"!"
1683188357606008536,2032,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",read,>,p,4,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,32,<NA>,"<NA>"
1683188357606009892,1356,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",read,<,p,4,<NA>,<NA>,<NA>,<NA>,<NA>,-11,<NA>,<NA>,"N"
1683188357606014523,4631,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",recvfrom,>,4,23,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,8192,<NA>,"<NA>"
1683188357606019184,4661,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",recvfrom,<,4,23,<NA>,<NA>,<NA>,NULL,<NA>,217,<NA>,217,"GET /projects/_all_docs HTTP/1.1..Host: f910ce744ea616bc:5984..User-Agent: python-requests/2.29.0..Accept-Encoding: gzip, deflate..Accept: */*..Connection: keep-alive..Authorization: Basic ZGJyZWFkZXI6ZGJyZWFkZXI=...."
1683188357606072403,53219,vulhub/couchdb:2.1.0,563e18938d26,beam.smp,containerd-shim,beam.smp,/opt/couchdb/bin/../erts-6.2/bin/beam.smp,"-K true -A 16 -Bd -- -root /opt/couchdb/bin/.. -progname couchdb -- -home /root -- -boot /opt/couchdb/bin/../releases/2.1.0/couchdb -kernel inet_dist_listen_min 9100 -kernel inet_dist_listen_max 9100 -kernel error_logger silent -sasl sasl_error_logger false -noshell -noinput -config /opt/couchdb/bin/../releases/2.1.0/sys.config",epoll_wait,>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,"<NA>"
